Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
8-May-2013,KOTAKBANK,EQ,728.45,730,734.8,720,730.35,728.85,726.9,441102,32063887885000.00,9351,273514,0.6201
9-May-2013,KOTAKBANK,EQ,728.85,729.3,730,720.65,725.55,723.35,725.32,248896,18053023300000.00,10299,96940,0.3895
10-May-2013,KOTAKBANK,EQ,723.35,721.25,733.45,716,731,730.45,725.57,431886,31336310839999.90,8850,230311,0.5333
11-May-2013,KOTAKBANK,EQ,730.45,730.5,736.75,727.15,736,734.8,733.05,32524,2384167010000.00,603,19385,0.596
13-May-2013,KOTAKBANK,EQ,734.8,736,736.65,723,725,725,728.79,342596,24968161630000.00,10517,160922,0.4697
14-May-2013,KOTAKBANK,EQ,725,725.8,732.4,720.75,729,729.9,728.13,328337,23907276130000.00,8824,159607,0.4861
15-May-2013,KOTAKBANK,EQ,729.9,730,770.05,726.9,767.3,768.25,754.2,783688,59105667754999.90,20236,438136,0.5591
16-May-2013,KOTAKBANK,EQ,768.25,763,781.5,761.95,780,777.95,769.5,784198,60344040870000.00,14136,436247,0.5563
17-May-2013,KOTAKBANK,EQ,777.95,774,799,768.7,793,794.35,784.21,571617,44826913650000.00,14435,278504,0.4872
20-May-2013,KOTAKBANK,EQ,794.35,794.5,797.95,778,781,781.75,788.32,531866,41927798025000.00,14246,246060,0.4626
21-May-2013,KOTAKBANK,EQ,781.75,781.75,782.8,762.85,763.65,765.1,770.01,536141,41283132525000.00,14081,327521,0.6109
22-May-2013,KOTAKBANK,EQ,765.1,766.1,773.3,759.35,769,768.1,767.13,317584,24362845390000.00,9896,118613,0.3735
23-May-2013,KOTAKBANK,EQ,768.1,763,772.15,752.6,767.2,765.55,764.13,454729,34747086235000.00,19153,215484,0.4739
24-May-2013,KOTAKBANK,EQ,765.55,767.1,784.25,759.4,779.1,781.05,774.48,380975,29505877839999.90,19363,157712,0.414
27-May-2013,KOTAKBANK,EQ,781.05,781.35,793.9,769.25,785.7,789.45,780.08,616977,48129196495000.00,35759,339309,0.55
